x_value,y_value
-12.518581344493953,-9.997032915565145
-12.518616577943995,-9.997026759237176
-12.518651812248715,-9.997020598622628
-12.518687047422072,-9.997014433707275
-12.518722283478189,-9.99700826447685
-12.518757520431299,-9.997002090917075
-12.518792758295765,-9.996995913013638
-12.51882799708609,-9.996989730752214
-12.518863236816903,-9.996983544118452
-12.518898477502942,-9.996977353098007
-12.518933719159099,-9.996971157676485
-12.518968961800377,-9.996964957839436
-12.519004205441938,-9.996958753572487
-12.519039450099097,-9.996952544861177
-12.519074695787223,-9.996946331691065
-12.519109942521927,-9.996940114047657
-12.519145190318863,-9.996933891916475
-12.51918043919392,-9.996927665282985
-12.519215689162955,-9.996921434132664
-12.519251292758584,-9.99691513607122
-12.519286192447712,-9.99690895822335
-12.519321445796095,-9.996902713435206
-12.519356700303788,-9.996896464071948
-12.519391955987505,-9.996890210118949
-12.519427212864047,-9.996883951561603
-12.519462470950396,-9.996877688385283
-12.51949773026368,-9.99687142057532
-12.519533343433096,-9.99686508536891
-12.519568605264885,-9.996858808200962
-12.519603515738522,-9.99685258919684
-12.519638780133668,-9.996846302705547
-12.519674045843574,-9.996840011507164
-12.51970931288628,-9.996833715586984
-12.51974458127996,-9.99682741493026
-12.519779851042937,-9.996821109522246
-12.51981512219372,-9.996814799348172
-12.519850394750948,-9.9968084843933
-12.519885668733453,-9.99680216464281
-12.519920944160187,-9.996795840081928
-12.519956221050267,-9.996789510695892
-12.519991499423,-9.996783176469936
-12.520026779297844,-9.99677683738919
-12.520062060694416,-9.996770493438987
-12.52009734363251,-9.996764144604287
-12.520132628132075,-9.99675779087044
-12.520167914213234,-9.996751432222542
-12.520203201896276,-9.996745068641651
-12.520238491201637,-9.996738700082501
-12.520273782149456,-9.99673232626354
-12.520309074760695,-9.996725947024297
-12.520344369056359,-9.996719562348083
-12.520379665057654,-9.996713172218112
-12.520414962785996,-9.996706776617621
-12.520450615266574,-9.996700311491182
-12.520485916531607,-9.996693904844161
-12.520520866549578,-9.99668755682518
-12.52055617140336,-9.996681139174774
-12.520591478093754,-9.996674715969915
-12.52062678664322,-9.996668287193776
-12.52066209707443,-9.996661852829574
-12.520697409410223,-9.996655412860548
-12.520732723673614,-9.996648967269753
-12.52076839305993,-9.996642451499643
-12.520803358076313,-9.99663605915588
-12.520838678262608,-9.996629596599128
-12.52087400047054,-9.996623128353422
-12.520909324724105,-9.996616654401949
-12.520944651047499,-9.996610174727909
-12.52097997946512,-9.996603689314503
-12.521015310001552,-9.996597198144896
-12.52105064268158,-9.99659070120232
-12.521085977530202,-9.996584198469977
-12.521121314572575,-9.996577689931055
-12.52115665383415,-9.996571175568812
-12.521191995340514,-9.996564655366443
-12.521227339117473,-9.996558129307173
-12.521262685191047,-9.996551597374246
-12.52129803358749,-9.996545059550924
-12.521333384333227,-9.99653851582047
-12.521368737454916,-9.996531966166144
-12.521404092979415,-9.996525410571243
-12.521439450933833,-9.996518849019054
-12.521474811345433,-9.996512281492908
-12.52151017424176,-9.996505707976127
-12.521545539650532,-9.996499128452024
-12.521581261292182,-9.996492477018064
-12.521616278117593,-9.996485951315469
-12.52165165123246,-9.996479353669702
-12.521687026972968,-9.996472749950174
-12.521722759165444,-9.996466074011424
-12.521757786446615,-9.996459524223672
-12.521793170238182,-9.996452902183659
-12.521828556772208,-9.996446274003814
-12.52186394607847,-9.996439639667654
-12.521899338186984,-9.996432999158737
-12.521934733128006,-9.996426352460652
-12.521970130932074,-9.996419699556995
-12.522005531629869,-9.996413040431445
-12.52204093525238,-9.996406375067636
-12.522076341830772,-9.996399703449297
-12.522111751396544,-9.996393025560167
-12.522147518122562,-9.996386274510433
-12.52218257961717,-9.996379650904611
-12.522217998336185,-9.996372954105832
-12.522253420170825,-9.99636625097155
-12.522288845153774,-9.996359541485669
-12.522324273317963,-9.996352825632155
-12.522359704696584,-9.996346103395021
-12.522395139323114,-9.996339374758275
-12.522430577231212,-9.996332639706024
-12.522466018454862,-9.996325898222354
-12.522501463028254,-9.99631915029147
-12.522536910985929,-9.996312395897608
-12.522572362362594,-9.996305635025008
-12.522607817193283,-9.996298867658028
-12.522643275513229,-9.996292093781003
-12.522678737357996,-9.996285313378362
-12.522714202763405,-9.996278526434565
-12.522749671765531,-9.996271732934181
-12.522785144400721,-9.996264932861777
-12.522820620705616,-9.996258126202017
-12.52285610071711,-9.9962513129396
-12.522891584472353,-9.996244493059283
-12.522927072008814,-9.996237666545916
-12.522962563364212,-9.996230833384393
-12.522998058576594,-9.996223993559658
-12.523033557684224,-9.996217147056774
-12.523069060725717,-9.996210293860793
-12.523104567739917,-9.996203433956904
-12.523140433896659,-9.996196498630088
-12.523175593843415,-9.996189693966427
-12.523211113011856,-9.996182813850536
-12.52324663631138,-9.996175926968132
-12.5232821637823,-9.99616903330473
-12.523317695465236,-9.99616213284597
-12.523353231401098,-9.996155225577587
-12.523388771631105,-9.996148311485342
-12.523424316196783,-9.996141390555138
-12.523459865139927,-9.99613446277293
-12.523495774058746,-9.99612745874355
-12.523530976327388,-9.996120586596732
-12.523566538656878,-9.996113638175107
-12.52360210553411,-9.996106682846207
-12.523637677002474,-9.996099720596467
-12.523673253105596,-9.996092751412403
-12.523708833887449,-9.996085775280608
-12.523744419392315,-9.996078792187836
-12.52378000966485,-9.996071802120895
-12.523815604749911,-9.996064805066721
-12.523851204692763,-9.996057801012348
-12.523886809538956,-9.996050789944896
-12.523922419334381,-9.996043771851664
-12.52395839029852,-9.996036676433077
-12.523993653958028,-9.996029714537405
-12.52402927887965,-9.996022675291517
-12.524064908937282,-9.99601562897004
-12.524100900557173,-9.996008504990893
-12.524136184650928,-9.996001515051818
-12.524171830402995,-9.995994447431135
-12.524207481483142,-9.995987372686967
-12.524243137940234,-9.995980290807697
-12.524278799823389,-9.995973201781817
-12.524314467182197,-9.99596610559796
-12.524350140066527,-9.995959002244897
-12.524385818526566,-9.995951891711513
-12.524421502612935,-9.995944773986869
-12.524457192376502,-9.995937649060153
-12.524492887868522,-9.995930516920708
-12.52452858914059,-9.995923377557999
-12.524564296244671,-9.995916230961654
-12.524600009233035,-9.995909077121478
-12.52463572815839,-9.995901916027426
-12.524671453073738,-9.99589474766957
-12.524707184032467,-9.995887572038217
-12.524743278489801,-9.995880317257807
-12.524778664295257,-9.995873198916813
-12.524814413707876,-9.995866001408155
-12.524850169380924,-9.995858796588703
-12.524885931369571,-9.99585158444957
-12.524921699729385,-9.995844364982053
-12.524957474516249,-9.995837138177611
-12.524993255786498,-9.995829904027897
-12.52502904359673,-9.995822662524754
-12.525064838003981,-9.995815413660214
-12.525100639065634,-9.995808157426447
-12.525136446839435,-9.99580089381591
-12.525172261383556,-9.995793622821164
-12.525208082756528,-9.995786344435041
-12.525243911017201,-9.99577905865052
-12.525279746224898,-9.995771765460836
-12.525315588439257,-9.995764464859397
-12.525351437720316,-9.995757156839819
-12.525387294128487,-9.99574984139592
-12.52542315772464,-9.995742518521775
-12.52545902856992,-9.99573518821165
-12.525495265544619,-9.995727777044957
-12.525530792254628,-9.995720505261753
-12.525566685218374,-9.995713152611662
-12.525602944722621,-9.995705718866224
-12.525638493702447,-9.995698424937078
-12.525674409349445,-9.995691049903728
-12.525710332684897,-9.995683667400707
-12.525746263773149,-9.995676277424222
-12.525782202678881,-9.995668879970639
-12.525818149467241,-9.995661475036627
-12.525854104203777,-9.995654062619112
-12.525890066954398,-9.995646642715213
-12.525926037785501,-9.995639215322369
-12.525962016763758,-9.995631780438266
-12.525998003956339,-9.995624338060846
-12.526033999430803,-9.995616888188344
-12.526070003255034,-9.995609430819274
-12.526106015497467,-9.995601965952373
-12.526142036226858,-9.995594493586777
-12.526178065512395,-9.995587013721792
-12.526214103423678,-9.995579526357083
-12.526250150030696,-9.995572031492545
-12.526286205403858,-9.995564529128417
-12.526322269614,-9.995557019265224
-12.526358342732378,-9.995549501903813
-12.52639442483062,-9.995541977045335
-12.526430515980824,-9.995534444691224
-12.52646661625548,-9.995526904843258
-12.52650308686893,-9.995519281992316
-12.526538844470235,-9.99551180267445
