x_value,y_value
-8.487585660590815,-9.990732091587123
-8.486309686827868,-9.99119513729493
-8.485217530871031,-9.991999883188749
-8.414608719838549,-10.061651404408382
-8.271750111562572,-10.201581622511997
-8.128949364723535,-10.34156160722212
-7.986194787649067,-10.481573946099646
-7.8434841369367305,-10.621614944897173
-7.700809602618392,-10.761687371048984
-7.558162674142471,-10.901800819650369
-7.415545372939829,-11.04196110977885
-7.272962017907772,-11.182165552854203
-7.131848062688914,-11.321005387561318
-6.98793009427993,-11.46267937491936
-6.845478624521088,-11.602980396810901
-6.703060022714264,-11.743317249011797
-6.560670161036137,-11.883697657464825
-6.418309350663436,-12.024124590051102
-6.275987996054416,-12.164594348772184
-6.133712697443665,-12.305096864503927
-5.991481965540118,-12.445627906206182
-5.849289231086734,-12.586190062273138
-5.7071269628641375,-12.726790649105238
-5.621850339368981,-12.810332609403623
-5.623095197258651,-12.809342487447337
-5.624423963291761,-12.808780957549502
-5.625827805068848,-12.808551084389924
-5.627263491882927,-12.808720715373868
-5.628566239032741,-12.809282453676069
-5.629659737734868,-12.8101923309392
-5.630454666048654,-12.81136879165042
-5.630894638358369,-12.812750810191707
-5.630882368258616,-12.812308168228551
-5.630449502430253,-12.811104926181919
-5.629722598520881,-12.810103136352025
-5.628744358193431,-12.809367106421435
-5.6274857986149405,-12.808870601503179
-5.626143754005366,-12.80875038483183
-5.528874683530737,-12.813229770432173
-5.327006185247184,-12.821588352564323
-5.12721958980873,-12.82991942048138
-4.927427101209602,-12.838305314184524
-4.727640786060487,-12.846748361196626
-4.527869420386592,-12.85524354890535
-4.3281089957618315,-12.863787041018862
-4.1303483093238444,-12.872291841973743
-3.9285838700847884,-12.881020150590153
-3.730804863902315,-12.889628804038209
-3.529031529313662,-12.898469630821344
-3.3292659935366835,-12.907277179239058
-3.129514229689759,-12.916135630702716
-2.929771000050686,-12.925042097577798
-2.730024931608336,-12.9339970970366
-2.5302691606345613,-12.943004720911832
-2.3305075777056663,-12.952068999764606
-2.1307496587775603,-12.96118851058063
-1.9310047905575793,-12.970362085240808
-1.7312739695569481,-12.979584512462878
-1.5315466454332713,-12.988853636264304
-1.3318126904380303,-12.99817265608697
-1.134066500468453,-13.007451936209572
-0.9323237548453325,-13.016975487973522
-0.7345834394216044,-13.026366671558971
-0.5328642126686275,-13.035998273702583
-0.3331518775132785,-13.045582696847573
-0.1334393010441112,-13.055215127914876
0.06628225405469561,-13.06489921712236
0.2660114820242841,-13.07463927667091
0.38505674408980767,-13.080092399285675
0.38349042133150796,-13.080152354923223
0.38216715052746625,-13.080542271328795
0.38102270962104184,-13.081300191388461
0.38011273134272,-13.082374193132598
